,0
Java,124
Basics,47
Topics,1
in,47
this,9
section,2
include,3
What,1
makes,4
programs,8
portable,5
secure,2
and,61
robust,2
The,44
structure,2
of,63
applets,8
applications,8
How,2
are,52
executed,5
invoked,2
Language,1
Part,1
Comments,2
Declarations,2
Expressions,4
Statements,3
Garbage,4
collection,7
Semantics,2
Portability,2
across,1
operating,1
systems,1
hardware,2
environments,1
is,66
to,89
your,27
advantage,1
because,5
You,7
need,4
only,5
one,7
version,3
software,1
serve,1
broad,1
market,1
Internet,1
effect,4
becomes,1
giant,1
dynamic,1
library,4
no,9
longer,2
limited,1
by,21
particular,2
computer,1
platform,5
Three,1
features,2
make,9
String,11
language,14
completely,1
specified,1
all,7
datatype,1
sizes,1
formats,1
defined,3
as,25
part,1
the,119
By,2
contrast,3
CC,16
leaves,1
these,7
details,1
up,3
compiler,4
implementor,1
many,1
therefore,3
jGurucom,23
All,25
Rights,23
Reserved,23
not,28
class,29
available,2
on,17
any,8
machine,3
with,9
runtime,10
system,9
program,10
use,15
if,11
you,19
cannot,2
same,10
every,1
Windowmanager,1
function,3
calls,2
Mac,1
application,2
written,2
for,33
example,19
do,7
port,1
well,1
PC,1
byte,7
code,38
does,9
compile,1
source,5
directly,1
into,3
an,28
inflexible,1
nonportable,1
representation,1
Instead,1
translated,1
machineindependent,1
easily,3
interpreted,2
can,11
be,24
having,1
latest,1
versions,1
Netscape,1
Navigator,1
browser,11
run,1
virtually,1
Security,1
that,30
it,13
very,2
difficult,1
write,4
incorrect,1
or,22
viruses,1
corruptsteal,1
data,12
harm,1
such,7
hard,1
disks,1
There,2
two,8
main,4
lines,1
defense,1
Interpreter,1
level,2
No,7
pointer,10
arithmetic,3
Array,4
bounds,2
checking,2
illegal,1
conversions,1
Browser,1
applies,1
local,1
file,9
IO,2
Sockets,1
back,1
host,2
native,1
methods,10
Robustness,1
It,2
has,11
several,1
designed,1
avoid,1
crashes,1
during,2
execution,2
including,1
collectionno,1
bad,2
addresses,2
string,8
jumping,1
method,24
Interfaces,1
exceptions,1
Program,2
Structure,1
containing,2
considered,1
compilation,3
unit,2
Such,1
contains,2
set,2
classes,2
optionally,1
package,1
definition,4
group,1
related,1
together,1
Classes,1
contain,2
members,1
specify,2
state,2
behavior,2
objects,21
come,1
flavors,1
Standalone,1
have,9
initial,1
context,1
preexisting,1
window,2
Applets,2
WWW,4
programming,3
major,1
differences,1
between,3
allowed,1
sockets,1
other,4
than,3
Applications,1
restrictions,1
An,7
applet,24
must,4
subclass,2
Applet,7
Aplications,1
Unlike,2
menus,1
respond,1
predefined,5
lifecycle,2
messages,3
from,6
which,3
theyre,1
running,1
Execution,2
bytecode,1
translates,1
independent,1
each,3
publicly,1
visible,1
placed,2
separate,1
so,2
find,1
If,2
instantiates,2
object,24
loader,1
searches,1
directories,1
listed,1
CLASSPATH,1
environment,1
variable,2
called,9
Aclass,1
link,1
phase,1
linking,1
done,2
dynamically,2
at,3
following,10
diagram,1
shows,3
sequence,1
named,1
Ajava,1
public,22
nonpublic,1
distributed,1
may,12
think,1
them,2
DLLs,1
loadable,1
libraries,1
linked,1
demand,1
When,1
own,3
will,3
often,1
integrate,1
alreadyexisting,1
portions,1
reside,3
machines,1
Simple,2
Application,1
Consider,1
trivial,1
prints,2
hi,1
there,3
standard,2
output,3
TrivialApplication,2
args,4
first,3
argument,1
second,2
static,5
void,14
mainString,2
Systemoutprintlnhi,1
command,1
java,1
tells,1
begin,1
TrivialApplicationclass,1
look,3
signature,1
always,3
files,1
allow,1
outside,1
definitions,4
creates,2
scoped,1
symbol,1
StartingClassNamemain,1
runs,1
within,3
Javacompatible,1
appletviewer,3
To,8
execute,1
Creates,1
instance,4
Sends,1
automatically,3
invoke,2
init,6
This,14
takes,1
place,1
constructor,1
once,2
creation,1
Instance,1
variables,5
should,5
initialized,2
GUI,3
components,2
buttons,3
scrollbars,1
added,2
start,4
after,1
whenever,1
revisited,1
when,7
deiconify,1
used,5
animations,4
threads,5
paintGraphics,3
drawing,1
area,1
needs,1
redrawn,1
Anything,1
drawn,3
contained,1
Bitmaps,1
here,2
but,5
they,5
handle,1
their,2
painting,1
stop,4
leave,2
iconify,1
suspend,2
burden,1
resources,3
unnecessarily,1
guaranteed,1
before,1
destroy,3
terminates,1
quitting,1
Final,1
cleanup,1
operations,1
freeing,1
dispose,2
Frame,1
removes,1
menu,1
bar,1
Therefore,1
forget,1
call,3
superdispose,1
override,1
default,3
basic,1
uses,1
import,5
javaappletApplet,3
AWT,1
javaawt,1
AppletTemplate,1
extends,3
create,3
initialize,1
etc,2
draw,1
things,1
free,1
fill,1
appropriate,1
bring,1
life,1
dont,2
more,2
simply,2
out,3
ignore,1
attempting,1
complete,1
displays,1
Hello,1
World,2
Wide,2
Web,2
javaawtGraphics,1
TrivialApplet,2
display,1
where,5
upperleft,1
corner,1
gdrawStringHello,1
instead,1
test,3
For,14
looks,1
like,3
HTMLApplet,1
Interface,1
HTML,2
tag,4
similar,5
img,1
form,2
codeAppletNameclass,2
widthw,1
heighth,1
parameters,6
optional,2
list,1
parameter,3
param,3
namen,1
valuev,1
width,3
height,2
namep,2
value,6
valuetest,1
userdefined,1
mandatory,1
codebase,1
alt,1
archives,1
align,1
vspace,1
hspace,1
itself,2
Your,1
access,2
calling,1
AppletgetParameterp,1
returns,1
ParamTest,1
Systemoutprintlnwidth,1
getParameterwidth,1
Systemoutprintlnp,2
getParameterp,2
comments,12
ie,1
Cstyle,5
block,1
text,2
opening,2
closing,1
ignored,2
style,3
singleline,1
end,1
line,2
Note,5
useful,1
combination,1
nested,1
leads,1
interesting,1
observation,1
comment,4
surrounding,1
So,1
try,1
normal,1
commentary,1
reserve,1
commenting,1
sections,1
also,1
document,2
These,3
processed,1
javadoc,1
generate,1
documentation,2
blah,3
Blah,1
nothing,3
multiple,1
leading,1
refer,6
array,22
item,1
primitive,9
type,6
Variables,3
using,5
simple,2
syntax,2
TypeName,3
variableName,2
int,34
defines,3
integer,2
reference,9
ints,4
Vector,2
Primitive,5
Types,2
types,13
Type,1
Description,3
boolean,5
truefalse,1
char,2
short,1
long,1
float,2
double,2
bits,7
UNICODE,1
IEEE,2
signed,1
Objects,4
struct,1
Button,24
allocates,4
memory,14
stack,4
specifically,1
instantiate,1
new,52
operator,9
foo,1
define,3
null,11
allocate,8
space,2
points,2
ButtonOK,5
As,2
accompanying,1
figure,1
places,1
heap,6
equivalent,6
statements,3
would,10
NULL,4
declare,2
point,3
calloc,4
sizeofButton,4
initb,1
OK,2
something,1
stored,1
Storing,1
cause,1
potential,1
leakage,1
problems,1
garbage,7
Each,2
eg,3
Integer,2
Byte,1
Float,1
Double,1
provided,1
addition,2
purely,1
efficiency,1
much,1
efficient,1
Strings,2
literals,1
those,3
strings,4
real,1
pointers,6
nullterminated,1
Every,2
literal,6
Stringa,1
constant,7
length,3
content,1
variablelength,1
StringBuffer,1
concatenated,1
plus,1
onetwo,1
concatenate,1
toString,1
convert,3
converted,1
obtained,1
abclength,1
StringvalueOf,1
IntegerparseInt,1
In,8
arrays,6
know,1
number,1
elements,5
element,7
index,1
Generic,1
Object,2
creating,1
declaration,1
objectit,1
nor,2
size,1
square,1
brackets,1
either,3
references,3
Buttons,2
ButtonQUIT,2
Create,1
task,2
structs,1
Allocate,3
button,4
Init,2
setTitlea,2
another,1
QUIT,1
Multidimensional,1
created,1
making,1
just,2
fiveelement,1
ten,1
statement,2
Accessing,2
undefined,1
causes,2
exception,3
ArrayIndexOutOfBoundsException,1
yet,2
been,3
assigned,3
results,1
NullPointerException,1
Initializers,1
follows,1
true,3
Employee,2
Arrays,1
Constants,1
modified,1
final,3
keywords,1
constants,1
const,2
keyword,1
Owner,1
Terence,1
Most,1
expressions,1
Constant,1
Item,2
Examples,3
id,2
qualifiedid,1
nameList,2
IntegerMAXVALUE,1
objmember,1
npackageclass,1
packageobj,1
idefg,1
ai,1
Jim,1
delimited,2
Unicode,1
character,1
uae,1
false,1
eF,1
suffix,2
eD,1
hexadecimal,1
octal,1
super,1
General,1
note,1
lowercase,1
current,1
superclass,1
view,1
Operators,1
objmethodargs,1
classmethodargs,1
expr,2
Tconstructorargs,1
Tefg,1
zeroextend,1
rightshift,1
operators,3
instanceof,2
present,1
sizeof,1
removed,1
allocation,1
handled,1
order,1
highest,1
lowest,1
priority,1
precedence,1
bind,1
differently,1
proper,1
Tmethod,2
table,1
Forms,1
Common,1
Statement,1
switch,2
while,4
booleanexpr,4
stat,8
else,4
intexpr,1
case,2
intconstexpr,2
dowhile,1
stats,1
return,14
break,2
continue,2
labels,2
specific,1
loop,3
apply,1
preceded,1
label,1
We,2
say,1
semantics,4
copy,4
means,1
passed,5
however,2
treated,1
way,2
compared,1
arguments,1
performs,1
bit,1
Assignment,2
Data,27
Dataint,3
adata,9
bdata,7
II,1
III,1
IV,1
clone,2
implements,1
Cloneable,1
superclone,1
ddata,2
aclone,1
above,1
requires,1
handling,2
discussed,1
now,2
pretend,1
necessary,1
Method,1
Parameters,1
Return,1
Values,1
Arguments,1
values,1
implied,1
assignments,1
However,2
fooint,3
bfooButton,3
callocsizeofButton,1
Equality,1
Two,1
equal,2
instantiated,2
objecta,1
shallow,1
comparison,2
FALSE,2
thisd,1
TRUE,2
de,1
referring,1
perform,1
deep,1
convention,1
equals,1
rewrite,1
equalsData,1
aequalsb,1
Pointers,1
address,1
illustrate,2
difference,1
consider,3
fragments,1
Stack,6
spush,2
dereference,2
push,1
internally,1
Collection,1
automatic,3
collector,3
deallocates,1
needed,1
thereby,1
relieving,1
tedious,1
errorprone,1
deallocating,1
consequence,1
lack,1
validthere,1
invalid,1
stale,1
deallocated,1
via,1
callocmalloc,1
ack,1
time,2
body,1
pointed,1
But,1
what,1
happens,1
Its,1
still,1
allocated,2
its,1
inaccessible,1
Memory,1
referred,1
leaked,1
leaks,1
issue,1
ill,1
effects,1
old,1
isnt,1
immediately,1
freed,2
remains,1
until,1
thread,1
next,1
notices,1
Put,1
reduces,1
effort,1
errors,1
complexity,1
MML,1
Version,1
Id,1
depotmainsrcedumodulesJavaBasicsjavaBasicsmml,1
page,1
intentionally,1
left,1
blank,1
